sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,primary_model,probability_low,probability_medium,probability_high,model_predicted_class,model_probability,model_vulnerability_score,model_priority_rank,model_agrees_with_proxy_label,hybrid_model_weight,hybrid_indicator_weight,hybrid_model_contribution,hybrid_indicator_contribution,hybrid_vulnerability_score,hybrid_vulnerability_class,hybrid_priority_rank,hybrid_class_threshold_method,hybrid_class_low_upper_score,hybrid_class_medium_upper_score
RWA.1.4.6_1,Kimonyi,Musanze,Medium,0.2588449918700046,29,random_forest,0.250631972202918,0.17439449488676034,0.5749735329103217,High,0.5749735329103217,0.6621707803537019,4,False,0.6,0.4,0.39730246821222115,0.10353799674800185,0.5008404649602229,High,11,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.10_1,Musanze,Musanze,High,0.3472088260571689,17,random_forest,0.35531476108264015,0.12965175002592205,0.5150334888914377,High,0.5150334888914377,0.5798593639043987,14,True,0.6,0.4,0.34791561834263923,0.13888353042286758,0.4867991487655068,High,12,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.6_1,Jali,Gasabo,Medium,0.3183499249275169,19,random_forest,0.12758061677429008,0.5546025986515445,0.3178167845741654,Medium,0.5546025986515445,0.5951180838999377,13,True,0.6,0.4,0.3570708503399626,0.12733996997100677,0.4844108203109694,High,13,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.1_1,Busogo,Musanze,Medium,0.2735898572497749,27,random_forest,0.2739951061123524,0.22438790972078065,0.5016169841668671,High,0.5016169841668671,0.6138109390272574,11,False,0.6,0.4,0.3682865634163544,0.10943594289990997,0.4777225063162644,High,14,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.3_1,Gikomero,Gasabo,High,0.4908936414447347,5,random_forest,0.3622967227445326,0.3946003361826008,0.24310294107286662,Medium,0.3946003361826008,0.44040310916416703,21,False,0.6,0.4,0.2642418654985002,0.19635745657789389,0.4605993220763941,High,15,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,random_forest,0.38228585971960827,0.3791110589743785,0.23860308130601332,Low,0.38228585971960827,0.4281586107932026,22,False,0.6,0.4,0.25689516647592153,0.19605206494652883,0.45294723142245036,High,16,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.1_1,Gitega,Nyarugenge,High,0.5243010335503896,1,random_forest,0.25267118351183626,0.6967310168764087,0.050597799611754826,Medium,0.6967310168764087,0.39896330804995916,24,False,0.6,0.4,0.2393779848299755,0.20972041342015585,0.4490983982501313,High,17,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.7_1,Nyakabanda,Nyarugenge,High,0.3533179574454252,16,random_forest,0.1871614587640849,0.639276148965463,0.17356239227045206,Medium,0.639276148965463,0.4932004667531836,16,False,0.6,0.4,0.2959202800519101,0.1413271829781701,0.4372474630300802,Medium,18,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.5.3.10_1,Rwezamenyo,Nyarugenge,High,0.401733325963705,11,random_forest,0.3486701555628852,0.3988733011008526,0.2524565433362621,Medium,0.3988733011008526,0.4518931938866884,19,False,0.6,0.4,0.27113591633201306,0.160693330385482,0.43182924671749506,Medium,19,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
RWA.1.4.8_1,Muhoza,Musanze,Medium,0.2429318962460824,32,random_forest,0.3356642054196325,0.21979681963503875,0.44453897494532885,High,0.44453897494532885,0.5544373847628482,15,False,0.6,0.4,0.3326624308577089,0.09717275849843297,0.4298351893561419,Medium,20,study_area_hybrid_score_tertiles,0.26610575053050545,0.4451480865101143
