sector_subunit_id,sector_subunit_index,sentinel__subunit_matched_row_count,sector_id,sector_name,district,proxy_class,proxy_score,proxy_rank,sentinel__elevation__subunit_mean,sentinel__elevation__subunit_std,sentinel__ndvi__subunit_mean,sentinel__ndvi__subunit_std,sentinel__ndbi__subunit_mean,sentinel__ndbi__subunit_std,sentinel__mndwi__subunit_mean,sentinel__mndwi__subunit_std,sentinel__slope__subunit_mean,sentinel__slope__subunit_std
RWA.5.1.15_1__sentinel_subunit_01,1,1,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,1471.640325631116,,0.8178286235441438,,-0.3624993315984382,,-0.5698763378886782,,27.206203103438515,
RWA.5.1.15_1__sentinel_subunit_02,2,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_03,3,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_04,4,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_05,5,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_06,6,1,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,1454.3728512527744,,0.5207219750474779,,-0.0561720953362427,,-0.5358716100253691,,8.805039522332962,
RWA.5.1.15_1__sentinel_subunit_07,7,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_08,8,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_09,9,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.1.15_1__sentinel_subunit_10,10,0,RWA.5.1.15_1,Rutunga,Gasabo,High,0.490130162366322,6,,,,,,,,,,
RWA.5.2.1_1__sentinel_subunit_01,1,42,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1421.3563227513228,56.384641166182966,0.4118702736456757,0.0468429418426185,-0.0052802812928774,0.0363407557234188,-0.4878526111642597,0.0257201433749495,8.602064864077265,3.1526752877089192
RWA.5.2.1_1__sentinel_subunit_02,2,41,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1462.4933604336045,76.57115340112267,0.3558885413740811,0.1018912379729808,0.0179891959257972,0.0979437385787183,-0.4737521382507175,0.0660149867240345,6.762641110197316,3.489244598488999
RWA.5.2.1_1__sentinel_subunit_03,3,42,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1450.8223015873016,74.80664115812584,0.3481290455561118,0.0793585753008591,0.0306529009446742,0.0777548224555666,-0.4774152766381409,0.0654693832794175,6.975645531783344,3.2488045626766997
RWA.5.2.1_1__sentinel_subunit_04,4,41,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1458.9778048780488,71.282623067967,0.3702400411591455,0.0757304081578587,0.0035179433663961,0.0761974031541805,-0.468589669910643,0.0641675096966109,6.521069759514919,3.057302478904922
RWA.5.2.1_1__sentinel_subunit_05,5,41,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1454.1973441734417,84.31580223868453,0.3249576755457412,0.0606523343127239,0.0167519481232838,0.0734713172349653,-0.4401768877217965,0.0906693508568972,6.3264418836047005,3.992929695906612
RWA.5.2.1_1__sentinel_subunit_06,6,42,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1456.98791005291,69.31055347895665,0.3077007187948473,0.0820199628668162,0.021288018413658,0.0876742700546102,-0.4390140623236501,0.1065627805178495,6.874710978037781,3.9133372891947897
RWA.5.2.1_1__sentinel_subunit_07,7,41,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1427.58054200542,50.763448849360095,0.3656961659879325,0.0703281300364741,-0.0020311860473988,0.0970582843891503,-0.4586761748921484,0.0900747790768262,8.946534503456053,3.635775797280426
RWA.5.2.1_1__sentinel_subunit_08,8,42,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1398.2339682539682,38.61015164832569,0.392785702307511,0.1067772608570589,-0.0347884127829904,0.1303044255604819,-0.441789758967013,0.1066182642521731,7.075531085406347,3.2329947448641905
RWA.5.2.1_1__sentinel_subunit_09,9,41,RWA.5.2.1_1,Gahanga,Kicukiro,Low,0.1503736702268057,50,1380.3460975609755,33.32109569167781,0.3735164474836799,0.0859878843795731,-0.0313089480214329,0.1571565045031744,-0.424205977500903,0.1592382138314265,6.673045437835096,3.0960651345321812
