sector_id,sector_name,district,model_vulnerability_score,proxy_score,scenario,model_weight,indicator_weight,hybrid_score,hybrid_class,hybrid_rank,baseline_60_40_rank,rank_change_from_60_40,in_top_10
RWA.1.4.7_1,Kinigi,Musanze,0.6706597783028633,0.4414543629815136,recommended_model_60_indicator_40,0.6,0.4,0.5789776121743234,High,4,4,0,True
RWA.1.4.15_1,Shingiro,Musanze,0.6278304433199862,0.4625705093806492,recommended_model_60_indicator_40,0.6,0.4,0.5617264697442514,High,5,5,0,True
RWA.1.4.3_1,Gacaca,Musanze,0.6265100190268001,0.4629871386840336,recommended_model_60_indicator_40,0.6,0.4,0.5611008668896935,High,6,6,0,True
RWA.1.4.12_1,Nyange,Musanze,0.6760679686390471,0.362824706885707,recommended_model_60_indicator_40,0.6,0.4,0.550770663937711,High,7,7,0,True
RWA.1.4.5_1,Gataraga,Musanze,0.6598558239412574,0.3836754690230567,recommended_model_60_indicator_40,0.6,0.4,0.5493836819739771,High,8,8,0,True
RWA.1.4.11_1,Nkotsi,Musanze,0.6414313598418009,0.3880988555860776,recommended_model_60_indicator_40,0.6,0.4,0.5400983581395116,High,9,9,0,True
RWA.1.4.9_1,Muko,Musanze,0.6113258219096974,0.3818568531108455,recommended_model_60_indicator_40,0.6,0.4,0.5195382343901567,High,10,10,0,True
RWA.1.4.6_1,Kimonyi,Musanze,0.6621707803537019,0.2588449918700046,recommended_model_60_indicator_40,0.6,0.4,0.5008404649602229,High,11,11,0,False
RWA.1.4.10_1,Musanze,Musanze,0.5798593639043987,0.3472088260571689,recommended_model_60_indicator_40,0.6,0.4,0.4867991487655068,High,12,12,0,False
RWA.5.1.6_1,Jali,Gasabo,0.5951180838999377,0.3183499249275169,recommended_model_60_indicator_40,0.6,0.4,0.4844108203109694,High,13,13,0,False
RWA.1.4.1_1,Busogo,Musanze,0.6138109390272574,0.2735898572497749,recommended_model_60_indicator_40,0.6,0.4,0.4777225063162644,High,14,14,0,False
RWA.5.1.3_1,Gikomero,Gasabo,0.44040310916416703,0.4908936414447347,recommended_model_60_indicator_40,0.6,0.4,0.4605993220763941,High,15,15,0,False
RWA.5.1.15_1,Rutunga,Gasabo,0.42815861079320255,0.490130162366322,recommended_model_60_indicator_40,0.6,0.4,0.45294723142245036,High,16,16,0,False
RWA.5.3.1_1,Gitega,Nyarugenge,0.39896330804995916,0.5243010335503896,recommended_model_60_indicator_40,0.6,0.4,0.4490983982501313,High,17,17,0,False
RWA.5.3.7_1,Nyakabanda,Nyarugenge,0.4932004667531836,0.3533179574454252,recommended_model_60_indicator_40,0.6,0.4,0.4372474630300802,Medium,18,18,0,False
RWA.5.3.10_1,Rwezamenyo,Nyarugenge,0.45189319388668847,0.401733325963705,recommended_model_60_indicator_40,0.6,0.4,0.43182924671749506,Medium,19,19,0,False
